label,load_group,p50,p90,p95,p99,mean,median,min,max
Transaction - SEARCH issue,1,337,841,959,1053,497,337,291,1077
Transaction - READ issue,1,648,831,865,891,700,648,606,898
Transaction - ADD comment,1,84,114,117,120,84,84,46,121
Transaction - CHANGE priority,1,58,58,58,58,58,58,58,58
Transaction - CHANGE status,1,58,58,58,58,58,58,58,58
Transaction - SEARCH issue,1-10,290,500,559,606,347,290,248,618
Transaction - CREATE issue,1-10,149,149,149,149,149,149,149,149
Transaction - READ issue,1-10,1248,1248,1248,1248,1248,1248,1248,1248
Transaction - CHANGE issue type,1-10,51,51,51,51,51,51,51,51
Transaction - SEARCH issue,10-20,263,330,551,10545,639,263,205,10664
Transaction - READ issue,10-20,618,997,1222,1274,704,618,495,1281
Transaction - ADD comment,10-20,51,89,103,106,58,51,38,107
Transaction - CHANGE issue type,10-20,33,44,44,45,33,33,15,45
Transaction - CHANGE status,10-20,26,48,53,57,29,26,14,58
Transaction - CHANGE priority,10-20,36,41,73,99,39,36,15,105
Transaction - CREATE issue,10-20,136,141,141,142,136,136,129,142
Transaction - READ issue,20-30,671,1259,1400,1739,900,671,518,11247
Transaction - CHANGE issue type,20-30,38,59,172,374,63,38,13,424
Transaction - ADD comment,20-30,49,67,86,551,73,49,40,780
Transaction - SEARCH issue,20-30,288,731,997,1299,373,288,202,1384
Transaction - CHANGE status,20-30,35,47,60,64,36,35,13,65
Transaction - CHANGE priority,20-30,37,59,86,312,49,37,13,397
Transaction - CREATE issue,20-30,158,158,158,158,158,158,158,158
Transaction - SEARCH issue,30-40,310,794,1174,12491,708,310,200,13791
Transaction - CHANGE issue type,30-40,37,59,236,562,67,37,14,632
Transaction - CHANGE status,30-40,36,68,104,323,48,36,13,434
Transaction - READ issue,30-40,754,1527,1890,16684,1279,754,483,22117
Transaction - CHANGE priority,30-40,36,54,209,649,70,36,13,792
Transaction - ADD comment,30-40,61,173,605,1255,146,61,41,1351
Transaction - CREATE issue,30-40,145,241,252,261,171,145,118,263
Transaction - READ issue,40-50,1123,1611,1806,4183,1311,1123,495,21692
Transaction - CHANGE status,40-50,36,59,123,232,44,36,13,290
Transaction - SEARCH issue,40-50,322,1032,1312,2089,552,322,209,11004
Transaction - ADD comment,40-50,56,120,157,883,95,56,34,1501
Transaction - CHANGE priority,40-50,42,240,304,699,97,42,12,922
Transaction - CHANGE issue type,40-50,37,78,100,171,48,37,14,175
Transaction - CREATE issue,40-50,198,221,224,226,198,198,170,227
Transaction - READ issue,50-60,1378,2418,2655,3369,1505,1378,537,10628
Transaction - SEARCH issue,50-60,469,1941,2609,13590,1030,469,227,15660
Transaction - CHANGE issue type,50-60,47,423,652,911,133,47,13,1019
Transaction - ADD comment,50-60,94,881,1239,1585,267,94,31,1611
Transaction - CHANGE priority,50-60,50,188,511,805,115,50,12,998
Transaction - CHANGE status,50-60,49,547,776,922,143,49,14,930
Transaction - CREATE issue,50-60,242,1014,1176,1306,497,242,167,1338
Transaction - ADD comment,60-70,67,404,1069,1588,206,67,40,1995
Transaction - READ issue,60-70,1838,3064,3374,4059,1925,1838,562,4298
Transaction - SEARCH issue,60-70,462,2116,2971,3821,932,462,215,19041
Transaction - CREATE issue,60-70,199,580,818,1008,296,199,6,1056
Transaction - CHANGE issue type,60-70,46,431,559,999,141,46,14,1238
Transaction - CHANGE status,60-70,57,823,880,954,234,57,12,1024
Transaction - CHANGE priority,60-70,46,366,608,783,132,46,13,826
Transaction - SEARCH issue,70-80,1591,5158,10010,14830,2589,1591,255,17651
Transaction - ADD comment,70-80,314,1354,1719,2580,560,314,35,2685
Transaction - READ issue,70-80,3216,5861,7704,9566,3576,3216,633,14694
Transaction - CHANGE issue type,70-80,147,854,1008,1647,303,147,13,1841
Transaction - CHANGE priority,70-80,104,1025,1450,2126,350,104,14,2402
Transaction - CHANGE status,70-80,166,1138,1285,1552,365,166,13,1594
Transaction - CREATE issue,70-80,1515,2479,3384,4443,1515,1515,49,4708
Transaction - READ issue,80-90,4685,9934,11567,14135,5572,4685,1224,15776
Transaction - ADD comment,80-90,586,1723,2085,4475,808,586,46,5685
Transaction - SEARCH issue,80-90,2752,11046,12499,16246,4242,2752,277,18458
Transaction - CHANGE priority,80-90,274,1453,1728,3223,573,274,15,4052
Transaction - CHANGE status,80-90,303,1280,1530,2686,483,303,13,2760
Transaction - CREATE issue,80-90,1528,2159,2316,2442,1563,1528,319,2473
Transaction - CHANGE issue type,80-90,498,1828,2110,2564,707,498,15,2605
Transaction - ADD comment,90-100,1290,2546,2864,4394,1436,1290,168,5164
Transaction - CHANGE status,90-100,729,1638,2115,2857,887,729,62,3696
Transaction - SEARCH issue,90-100,12248,18282,20652,25901,12099,12248,1616,33281
Transaction - READ issue,90-100,13848,22820,25643,31110,14827,13848,4278,37664
Transaction - CHANGE issue type,90-100,820,1938,2095,2557,974,820,71,2628
Transaction - CREATE issue,90-100,2150,3939,4550,4636,2393,2150,985,4658
Transaction - CHANGE priority,90-100,765,2090,2538,3693,997,765,64,4046
